term,ipa,notes,alternates
"fitrah","fɪt.rɑː","Natural human disposition toward God","fitra"
"rūḥ","ruːħ","The spirit","ruh, rooh"
"taqwā","tɑk.wɑː","God-consciousness, piety","taqwa"
"dunyā","ˈdʊn.jɑː","This worldly life","dunya"
"ākhirah","ˈɑː.xɪ.rɑ","The hereafter","akhirah, akhira"
"Qur'an","kʊrˈɑːn","The holy book of Islam","Quran, Koran"
"ḥadīth","hæˈdiːθ","Prophetic traditions","hadith"
"Muḥammad","muˈħæm.mæd","The Prophet of Islam","Muhammad, Mohammed"
"jihād","dʒi.haːd","Struggle, striving in the path of God","jihad"
"dhikr","ðikr","Remembrance of God","zikr, dhikir"
"salāh","sa.laːħ","Prayer","salah, salat"
"zakāh","za.kaːħ","Obligatory charity","zakat, zakah"
"hajj","ħadʒdʒ","Pilgrimage to Mecca","haj"
"sawm","sawm","Fasting","saum"
"shahādah","ʃa.haː.da","Declaration of faith","shahada, shahadah"
"ummah","ʔum.ma","Muslim community","umma"
"sīrah","siː.ra","Biography of the Prophet","sirah, seerah"
"sunnah","ˈsun.na","Way or practice of the Prophet","sunna"
